date,31-12-1950,31-12-1951,31-12-1952,31-12-1953,31-12-1954,31-12-1955,31-12-1956,31-12-1957,31-12-1958,31-12-1959,31-12-1960,31-12-1961,31-12-1962,31-12-1963,31-12-1964,31-12-1965,31-12-1966,31-12-1967,31-12-1968,31-12-1969,31-12-1970,31-12-1971,31-12-1972,31-12-1973,31-12-1974,31-12-1975,31-12-1976,31-12-1977,31-12-1978,31-12-1979,31-12-1980,31-12-1981,31-12-1982,31-12-1983,31-12-1984,31-12-1985,31-12-1986,31-12-1987,31-12-1988,31-12-1989,31-12-1990,31-12-1991,31-12-1992,31-12-1993,31-12-1994,31-12-1995,31-12-1996,31-12-1997,31-12-1998,31-12-1999,31-12-2000,31-12-2001,31-12-2002,31-12-2003,31-12-2004,31-12-2005,31-12-2006,31-12-2007,31-12-2008,31-12-2009,31-12-2010,31-12-2011,31-12-2012,31-12-2013,31-12-2014,31-12-2015,31-12-2016,31-12-2017,31-12-2018,31-12-2019,31-12-2020,31-12-2021,31-12-2022,31-12-2023,31-12-2024,31-12-2025,31-12-2026,31-12-2027,31-12-2028,31-12-2029,31-12-2030,31-12-2031,31-12-2032,31-12-2033,31-12-2034,31-12-2035,31-12-2036,31-12-2037,31-12-2038,31-12-2039,31-12-2040,31-12-2041,31-12-2042,31-12-2043,31-12-2044,31-12-2045,31-12-2046,31-12-2047,31-12-2048,31-12-2049,31-12-2050,31-12-2051,31-12-2052,31-12-2053,31-12-2054,31-12-2055,31-12-2056,31-12-2057,31-12-2058,31-12-2059,31-12-2060,31-12-2061,31-12-2062,31-12-2063,31-12-2064,31-12-2065,31-12-2066,31-12-2067,31-12-2068,31-12-2069,31-12-2070,31-12-2071,31-12-2072,31-12-2073,31-12-2074,31-12-2075,31-12-2076,31-12-2077,31-12-2078,31-12-2079,31-12-2080,31-12-2081,31-12-2082,31-12-2083,31-12-2084,31-12-2085,31-12-2086,31-12-2087,31-12-2088,31-12-2089,31-12-2090,31-12-2091,31-12-2092,31-12-2093,31-12-2094,31-12-2095,31-12-2096,31-12-2097,31-12-2098,31-12-2099,31-12-2100
 Population,376325200,382376948,388799073,395544369,402578596,409880595,417442811,425270695,433380978,441798578,450547679,459642165,469077190,478825608,488848135,499123324,509631500,520400576,531513824,543084336,555189792,567868018,581087256,594770134,608802600,623102897,637630087,652408776,667499806,682995354,698952844,715384993,732239504,749428958,766833410,784360008,801975244,819682102,837468930,855334678,873277798,891273209,909307016,927403860,945601831,963922588,982365243,1000900030,1019483581,1038058156,1056575549,1075000085,1093317189,1111523144,1129623456,1147609927,1165486291,1183209472,1200669765,1217726215,1234281170,1250287943,1265780247,1280842125,1295600772,1310152403,1324517249,1338676785,1352642280,1366417754,1380004385,1393409038,1406631776,1419655806,1432456478,1445011620,1457308855,1469338565,1481083338,1492524282,1503642322,1514427165,1524862017,1534913987,1544544364,1553723810,1562439265,1570690442,1578478179,1585809320,1592691513,1599124104,1605111260,1610672883,1615834993,1620619200,1625034122,1629084506,1632783289,1636143733,1639176033,1641888192,1644282548,1646355875,1648101163,1649513160,1650592755,1651342441,1651760133,1651843113,1651589528,1651001679,1650080986,1648824112,1647226611,1645287234,1643009777,1640402427,1637474664,1634238372,1630705925,1626886097,1622790158,1618436680,1613847123,1609040631,1604031514,1598830751,1593450148,1587900578,1582193255,1576338459,1570348764,1564240054,1558029596,1551731747,1545358107,1538914873,1532403986,1525824204,1519176268,1512464720,1505697184,1498882983,1492031487,1485150516,1478245816,1471320763,1464376278,1457410912,1450420839
 Annual % Change,,1.61,1.68,1.73,1.78,1.81,1.84,1.88,1.91,1.94,1.98,2.02,2.05,2.08,2.09,2.1,2.11,2.11,2.14,2.18,2.23,2.28,2.33,2.35,2.36,2.35,2.33,2.32,2.31,2.32,2.34,2.35,2.36,2.35,2.32,2.29,2.25,2.21,2.17,2.13,2.1,2.06,2.02,1.99,1.96,1.94,1.91,1.89,1.86,1.82,1.78,1.74,1.7,1.67,1.63,1.59,1.56,1.52,1.48,1.42,1.36,1.3,1.24,1.19,1.15,1.12,1.1,1.07,1.04,1.02,0.99,0.97,0.95,0.93,0.9,0.88,0.85,0.83,0.8,0.77,0.74,0.72,0.69,0.66,0.63,0.59,0.56,0.53,0.5,0.46,0.43,0.4,0.37,0.35,0.32,0.3,0.27,0.25,0.23,0.21,0.19,0.17,0.15,0.13,0.11,0.09,0.07,0.05,0.03,0.01,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2,-0.22,-0.23,-0.25,-0.27,-0.28,-0.3,-0.31,-0.32,-0.34,-0.35,-0.36,-0.37,-0.38,-0.39,-0.4,-0.4,-0.41,-0.42,-0.42,-0.43,-0.44,-0.44,-0.45,-0.45,-0.46,-0.46,-0.46,-0.47,-0.47,-0.48,-0.48
