SYMBOL,SERIES,Adjusted 52_Week_High,52_Week_High_Date,Adjusted 52_Week_Low,52_Week_Low_DT
KCPSUGIND,EQ,32.35,13-Jul-21,13.5,24-Sep-20
KDDL,EQ,435,20-Apr-21,118.81,10-Aug-20
KEC,EQ,486,03-Mar-21,269,07-Aug-20
KECL,EQ,22.9,17-May-21,9.75,24-Sep-20
KEERTI,EQ,32.65,21-Jan-21,17.5,05-Aug-21
KEI,EQ,763.65,01-Jul-21,319.6,20-Oct-20
KELLTONTEC,EQ,92,11-Jun-21,18.2,10-Aug-20
KENNAMET,EQ,1440,02-Jun-21,699.25,19-Oct-20
KERNEX,BE,94,06-Jul-21,16.45,30-Oct-20
KESORAMIND,EQ,105.5,04-Aug-21,34.6,24-Sep-20
KEYFINSERV,EQ,117,26-Nov-20,31.4,22-Oct-20
KHADIM,EQ,358,01-Jul-21,99.55,25-Sep-20
KHAICHEM,EQ,81,03-Aug-21,18,10-Nov-20
KHANDSE,EQ,23.3,29-Dec-20,7.45,14-Oct-20
KICL,EQ,2231.05,04-Aug-21,1215,05-Aug-20
KILITCH,EQ,228.9,02-Aug-21,78.6,24-Sep-20
KIMS,EQ,1328,03-Aug-21,937.55,01-Jul-21
KINGFA,EQ,1321.9,12-Jul-21,431.2,22-Sep-20
KIOCL,EQ,311.65,02-Aug-21,106.6,29-Oct-20
KIRIINDUS,EQ,679,21-Jun-21,395,15-Oct-20
KIRLFER,EQ,314,30-Jul-21,76,05-Aug-20
KIRLOSBROS,BE,499.2,19-Jul-21,98.1,26-Oct-20
KIRLOSENG,EQ,277.7,23-Jul-21,94.25,26-Oct-20
KIRLOSIND,EQ,1973.85,02-Jun-21,575,03-Nov-20
KITEX,EQ,223.9,15-Jul-21,91.15,12-Apr-21
KKCL,EQ,1032.5,05-Jan-21,691,11-Nov-20
KMSUGAR,EQ,39.05,06-Jul-21,8.4,05-Aug-20
KNRCON,EQ,283.9,30-Jul-21,100.28,12-Aug-20
KOKUYOCMLN,EQ,79.9,05-Jul-21,51,05-Aug-20
KOLTEPATIL,EQ,285.6,08-Jan-21,138.1,05-Aug-20
KOPRAN,BE,261,04-Aug-21,52,05-Aug-20
KOTAKBANK,EQ,2049,16-Feb-21,1230.6,25-Sep-20
KOTAKBKETF,EQ,414.7,25-Feb-21,206.51,24-Sep-20
KOTAKGOLD,EQ,50.81,05-Oct-20,38.5,31-Mar-21
KOTAKIT,EQ,34,27-Jul-21,23.36,08-Mar-21
KOTAKNIFTY,EQ,188.7,04-Jun-21,112.8,24-Sep-20
KOTAKNV20,EQ,93.3,17-Feb-21,56,06-Aug-20
KOTAKPSUBK,EQ,265,18-Feb-21,120,25-Sep-20
KOTARISUG,EQ,50.35,12-May-21,12.3,20-Aug-20
KOTHARIPET,EQ,65.7,03-Aug-21,14.15,20-Oct-20
KOTHARIPRO,BE,137.45,07-Jul-21,56.1,23-Oct-20
KOVAI,BE,1698,05-Aug-21,1526.95,05-Aug-21
KOVAI,EQ,1698,05-Aug-21,1526.95,05-Aug-21
KPIGLOBAL,EQ,163.4,05-Aug-21,121,27-Jul-21
KPITTECH,EQ,315.65,27-Jul-21,67.5,01-Sep-20
KPRMILL,EQ,2085,27-Jul-21,440.05,12-Aug-20
KRBL,EQ,339,11-Aug-20,173.15,22-Apr-21
KREBSBIO,EQ,148.8,29-Dec-20,80.1,11-Sep-20
KRIDHANINF,EQ,7.85,21-Jun-21,2.25,12-Nov-20
KRISHANA,EQ,151,28-Jul-21,45.2,05-Aug-20
KSB,EQ,1270.2,30-Jul-21,427.5,29-Oct-20
KSCL,EQ,816.65,17-May-21,463.05,02-Nov-20
KSL,EQ,466.2,02-Aug-21,196.3,24-Sep-20
KTKBANK,EQ,73.8,24-May-21,39.5,24-Sep-20
KUANTUM,EQ,98.9,30-Jul-21,37.1,14-Nov-20
L&TFH,EQ,113.4,03-Mar-21,51.96,25-Sep-20
LAKPRE,BZ,7.55,13-Jan-21,2.75,26-Nov-20
LALPATHLAB,EQ,4050,30-Jul-21,1736.6,01-Sep-20
LAMBODHARA,BE,111.95,09-Jul-21,26,05-Aug-20
LAOPALA,EQ,314.8,03-Aug-21,182,05-Aug-20
LASA,EQ,100.9,08-Jan-21,54.85,12-Aug-20
LAURUSLABS,EQ,1550,21-Sep-20,252,11-Nov-20
LAXMIMACH,EQ,8880.45,02-Aug-21,3000,17-Aug-20
LCCINFOTEC,EQ,5.7,31-Mar-21,1.45,26-May-21
LEMONTREE,EQ,49.5,08-Dec-20,23.3,05-Aug-20
LFIC,EQ,93.7,10-May-21,45.2,10-Sep-20
LGBBROSLTD,EQ,545.75,29-Jul-21,209.5,28-Sep-20
LGBFORGE,BE,9.55,04-Aug-21,2.15,19-Oct-20
LIBAS,EQ,76.4,14-Jul-21,22.71,01-Dec-20
LIBERTSHOE,EQ,189.5,23-Jul-21,115.9,19-Apr-21
LICHSGFIN,EQ,542.45,11-Jun-21,255.4,06-Aug-20
LICNETFGSC,EQ,23.39,09-Dec-20,20.33,23-Sep-20
LICNETFN50,EQ,203,19-Jul-21,110.1,10-Aug-20
LICNETFSEN,EQ,624.6,12-Jul-21,353.95,31-Aug-20
LICNFNHGP,EQ,185,24-May-21,110.75,24-Sep-20
LIKHITHA,EQ,480,11-Jun-21,125,15-Oct-20
LINCOLN,EQ,384,23-Jul-21,206,22-Oct-20
LINCPEN,EQ,239,11-Jun-21,139.3,25-Mar-21
LINDEINDIA,EQ,2074,19-Apr-21,640.2,07-Aug-20
LIQUIDBEES,EQ,1007.98,01-Dec-20,990,12-Feb-21
LIQUIDETF,EQ,1020,27-May-21,810.9,23-Sep-20
LODHA,EQ,944.9,03-Aug-21,422.6,19-Apr-21
LOKESHMACH,EQ,55.4,17-Jun-21,18.25,11-Nov-20
LOTUSEYE,BE,59,28-Jun-21,26.3,22-Sep-20
LOVABLE,EQ,145.55,28-May-21,49,05-Aug-20
LPDC,BE,8.3,08-Jul-21,1.15,17-Aug-20
LSIL,BE,3.9,13-Jul-21,0.65,01-Dec-20
LT,EQ,1647.15,22-Jul-21,843,24-Sep-20
LTI,EQ,4867.95,05-Aug-21,2311.6,24-Sep-20
LTTS,EQ,3818,29-Jul-21,1464.1,09-Sep-20
LUMAXIND,EQ,1783.4,03-Mar-21,1188,10-Nov-20
LUMAXTECH,EQ,181.9,22-Jul-21,88,24-Sep-20
LUPIN,EQ,1267.65,02-Jun-21,855.35,10-Nov-20
LUXIND,EQ,4350,27-Jul-21,1128.8,05-Aug-20
LXCHEM,EQ,283,04-Aug-21,143.25,25-Mar-21
LYKALABS,EQ,89.1,05-Aug-21,16,12-Nov-20
LYPSAGEMS,EQ,7,23-Jun-21,2.4,21-Oct-20
M&M,EQ,952.05,08-Feb-21,567.5,24-Sep-20
M&MFIN,EQ,224.3,15-Feb-21,112.7,23-Sep-20
MAANALU,BE,234.05,05-Aug-21,28.85,12-Aug-20
MACPOWER,EQ,187.2,05-Aug-21,53.1,19-Aug-20
MADHAV,EQ,75,22-Jul-21,20.9,06-Aug-20
MADHUCON,EQ,7.75,23-Jul-21,1.9,14-Aug-20
MADRASFERT,EQ,35.6,24-Jun-21,15.25,05-Nov-20
MAESGETF,EQ,31,02-Jun-21,21.75,26-Apr-21
MAFANG,EQ,57.5,01-Jun-21,44,20-May-21
MAFSETF,EQ,17.98,05-Aug-21,17.03,05-Aug-21
MAGADSUGAR,EQ,386.95,05-Jul-21,88.95,11-Nov-20
MAGNUM,BE,11.7,05-Aug-21,3.9,05-Nov-20
MAHABANK,EQ,32,07-Jun-21,10.55,24-Sep-20
MAHAPEXLTD,BE,124.35,27-Jul-21,47.4,25-Sep-20
MAHASTEEL,EQ,130.3,15-Jan-21,72.3,26-Mar-21
MAHEPC,EQ,184.4,28-Aug-20,125.25,11-Nov-20
MAHESHWARI,EQ,141.95,14-Oct-20,73.3,01-Apr-21
MAHINDCIE,EQ,280.7,26-Jul-21,105.1,06-Aug-20
MAHLIFE,EQ,822.4,03-Aug-21,206,07-Aug-20
MAHLOG,EQ,821,02-Aug-21,285.25,14-Aug-20
MAHSCOOTER,EQ,4399.95,02-Feb-21,2737.05,24-Sep-20
MAHSEAMLES,EQ,354.4,21-Dec-20,199.6,06-Aug-20
MAITHANALL,EQ,1254.95,04-Aug-21,460,06-Aug-20
MAJESCO,EQ,1009.9,15-Dec-20,12.2,23-Dec-20
MALUPAPER,EQ,44,29-Jul-21,22.45,10-Nov-20
MAN50ETF,EQ,173.6,26-Jul-21,110,24-Sep-20
MANAKALUCO,EQ,23.95,28-May-21,6.15,14-Nov-20
MANAKCOAT,EQ,18.8,12-May-21,3.6,30-Oct-20
MANAKSIA,EQ,78.2,15-Jun-21,33,06-Aug-20
MANAKSTEEL,EQ,37.6,27-Jul-21,8.65,01-Sep-20
MANALIPETC,BE,94,04-Aug-21,19.2,06-Aug-20
MANAPPURAM,EQ,218,30-Jul-21,139.1,22-Apr-21
MANGALAM,EQ,196.95,27-Jul-21,67.7,05-Aug-20
MANGCHEFER,EQ,101,14-May-21,27.25,16-Oct-20
MANGLMCEM,EQ,543.6,03-Aug-21,171.4,24-Sep-20
MANINDS,EQ,147.1,02-Aug-21,47.5,05-Aug-20
MANINFRA,EQ,70.7,27-Jul-21,18.05,05-Aug-20
MANUGRAPH,EQ,16.15,14-Jun-21,7.75,14-Nov-20
MANXT50,EQ,406.21,26-Jul-21,223.9,17-Sep-20
MARALOVER,EQ,88.75,05-Aug-21,10.75,22-Sep-20
MARATHON,EQ,107.95,15-Dec-20,42.05,15-Apr-21
MARICO,EQ,553.2,30-Jul-21,333,24-Sep-20
MARINE,EQ,90.7,07-Jun-21,38,08-Dec-20
MARKSANS,EQ,97.6,14-Jun-21,43.65,01-Sep-20
MARUTI,EQ,8329,12-Jan-21,6270.15,24-Sep-20
MASFIN,EQ,1110.85,18-Nov-20,620.15,06-Aug-20
MASKINVEST,BE,59.5,26-Aug-20,21.3,02-Jun-21
MASTEK,EQ,2875,22-Jul-21,615,05-Aug-20
MATRIMONY,EQ,1242,25-Feb-21,522.5,01-Sep-20
MAWANASUG,BE,120,14-Jul-21,22.3,04-Nov-20
MAXHEALTH,EQ,305.9,02-Aug-21,97.15,12-Nov-20
MAXIND,EQ,79.95,28-Aug-20,48.05,10-Sep-20
MAXVIL,EQ,99.2,02-Aug-21,35.1,21-Sep-20
MAYURUNIQ,EQ,546,07-Jul-21,217.65,13-Aug-20
MAZDA,EQ,752.95,31-May-21,313.6,06-Aug-20
MAZDOCK,EQ,296,10-Jun-21,164,13-Oct-20
MBAPL,EQ,158.95,30-Jul-21,57,29-Oct-20
MBECL,BE,12.95,19-Jul-21,4.4,06-Nov-20
MBLINFRA,EQ,29.85,23-Jun-21,5.95,05-Aug-20
MCDHOLDING,EQ,71.05,23-Jun-21,20.6,11-Sep-20
MCDOWELL-N,EQ,690,26-Jul-21,494,24-Sep-20
MCL,EQ,116,21-Dec-20,38.1,29-Jul-21
MCLEODRUSS,EQ,43.5,09-Jun-21,10.9,05-Aug-20
MCX,EQ,1875,26-Oct-20,1432.3,06-Apr-21
MEGASOFT,BE,17.2,04-Aug-21,6.35,07-Aug-20
MELSTAR,BZ,3.65,14-Jul-21,1.65,15-Oct-20
MENONBE,EQ,88.35,03-Aug-21,37.1,22-Sep-20
MEP,EQ,28.4,14-Jul-21,12.05,01-Oct-20
MERCATOR,BE,3.45,26-Jul-21,0.7,23-Oct-20
METALFORGE,BZ,8.65,16-Jun-21,3.7,10-Aug-20
METROPOLIS,EQ,3231.8,30-Jul-21,1515.2,12-Aug-20
MFSL,EQ,1148.05,29-Jul-21,514.9,17-Aug-20
MGEL,EQ,66.5,05-Jul-21,35.2,23-Dec-20
MGL,EQ,1284.4,17-Jun-21,779.65,14-Oct-20
MHRIL,EQ,338.9,23-Jul-21,160.5,15-Oct-20
MIDHANI,EQ,236,26-Aug-20,172.8,16-Oct-20
MINDACORP,EQ,148.1,16-Jul-21,65.1,15-Oct-20
MINDAIND,EQ,834,03-Aug-21,278.2,05-Aug-20
MINDTECK,EQ,133.8,04-Aug-21,22.35,06-Aug-20
MINDTREE,EQ,2944,30-Jul-21,1093.15,12-Aug-20
MIRCELECTR,BE,25.5,13-Jul-21,7.45,13-Oct-20
MIRZAINT,EQ,69.4,27-Jul-21,43,22-Apr-21
MITTAL,EQ,37.15,02-Sep-20,8.25,23-Apr-21
MMFL,EQ,803.9,04-Aug-21,195.95,05-Aug-20
MMP,EQ,196,03-Aug-21,67.1,14-Aug-20
MMTC,EQ,63.95,08-Jun-21,15.7,25-Sep-20
MODIRUBBER,BE,216.05,09-Mar-21,25.35,28-Sep-20
MODISNME,EQ,97.25,04-Aug-21,52.05,03-May-21
MOGSEC,EQ,57.4,27-Apr-21,45.89,30-Dec-20
MOHITIND,BE,22.05,07-Jul-21,3,15-Oct-20
MOHOTAIND,BE,14.65,30-Dec-20,5.95,04-May-21
MOIL,EQ,207.95,22-Jun-21,120.6,04-Nov-20
MOKSH,EQ,123.85,07-Jul-21,24,14-Jul-21
MOLDTECH,BE,108,07-Jul-21,34.55,06-Aug-20
MOLDTKPAC,EQ,546,14-Jul-21,243.04,05-Aug-20
MOM100,EQ,29.95,05-Aug-21,16.11,05-Aug-20
MOM50,EQ,168.8,17-Jun-21,105.6,20-Aug-20
MON100,EQ,125.4,19-Jul-21,77.6,21-Sep-20
MONTECARLO,EQ,389.7,30-Jul-21,155,10-Aug-20
MORARJEE,EQ,23.95,05-Jul-21,8.1,24-Sep-20
MOREPENLAB,EQ,75,06-Jul-21,22.35,25-Sep-20
MOTHERSUMI,EQ,272.85,02-Jun-21,97.75,07-Aug-20
MOTILALOFS,EQ,1188,19-Jul-21,538,22-Oct-20
MOTOGENFIN,EQ,25.8,31-Mar-21,13.2,28-Oct-20
MPHASIS,EQ,2756.55,05-Aug-21,1081.85,31-Aug-20
MPSLTD,EQ,760,02-Aug-21,341.85,12-Jan-21
MRF,EQ,98599.95,11-Feb-21,55300,24-Sep-20
MRO-TEK,EQ,40.1,31-Dec-20,18.1,05-Nov-20
MRPL,EQ,56.6,15-Jun-21,25.25,15-Oct-20
MSPL,EQ,13.3,05-May-21,5.75,20-Oct-20
MSTCLTD,EQ,400,09-Feb-21,137.5,01-Sep-20
MTARTECH,EQ,1563.95,16-Jul-21,860,19-Mar-21
MTEDUCARE,EQ,15.15,11-Aug-20,6.25,31-Mar-21
MTNL,EQ,24.4,15-Mar-21,7.5,01-Oct-20
MUKANDLTD,BE,154.95,03-Aug-21,19.15,05-Aug-20
MUKTAARTS,EQ,42.5,02-Aug-21,22.15,07-Aug-20
MUNJALAU,EQ,72.8,04-Aug-21,48.05,12-Aug-20
MUNJALSHOW,EQ,176.45,09-Feb-21,105,05-Aug-20
MURUDCERA,EQ,33.5,04-Aug-21,13.8,24-Sep-20
MUTHOOTCAP,EQ,528,31-Aug-20,348.2,12-Aug-20
MUTHOOTFIN,EQ,1638.85,04-Aug-21,1000,22-Sep-20
NACLIND,EQ,89.2,10-Jun-21,29.6,19-Oct-20
NAGAFERT,BE,20.55,15-Jul-21,3.75,13-Oct-20
NAGREEKEXP,EQ,47.9,05-Aug-21,11.45,05-Aug-20
NAHARCAP,EQ,423.7,04-Aug-21,59.1,28-Sep-20
NAHARINDUS,BE,148.8,30-Jul-21,22.75,16-Oct-20
NAHARPOLY,EQ,318.9,04-Aug-21,55.85,24-Sep-20
NAHARSPING,BE,469,05-Aug-21,32.15,05-Aug-20
NAM-INDIA,EQ,439.35,16-Jul-21,249,25-Sep-20
NATCOPHARM,EQ,1189,06-Jul-21,731,09-Sep-20
NATHBIOGEN,EQ,473.95,01-Jun-21,221.2,09-Sep-20
NATIONALUM,EQ,97,05-Aug-21,29.1,14-Oct-20
NATNLSTEEL,BE,5.8,14-May-21,2,10-Aug-20
NAUKRI,EQ,5880,06-Jan-21,3220,21-Aug-20
NAVINFLUOR,EQ,4015,26-Jul-21,1755.1,05-Aug-20
NAVKARCORP,EQ,54.75,19-Jul-21,24,12-Oct-20
NAVNETEDUL,EQ,107.5,06-Jul-21,72.7,19-May-21
NAZARA,EQ,2024.9,30-Mar-21,1432,31-Mar-21
NBCC,EQ,59.8,22-Jun-21,22.2,24-Sep-20
NBIFIN,EQ,3200,24-May-21,1326,24-Sep-20
NBVENTURES,EQ,133,03-Aug-21,46.75,24-Nov-20
NCC,EQ,99.85,09-Feb-21,29.5,24-Sep-20
NCLIND,EQ,304.95,03-Aug-21,83.5,05-Aug-20
NCPSESDL24,EQ,123.26,26-Nov-20,99.91,14-Dec-20
NDGL,BE,2175,23-Jun-21,552.25,09-Sep-20
NDL,EQ,84.1,03-Aug-21,18.5,20-Oct-20
NDRAUTO,BE,406.6,04-Aug-21,108.7,06-Aug-20
NDTV,EQ,86.15,25-May-21,25.7,26-Oct-20
NECCLTD,EQ,20.05,02-Aug-21,6.55,19-Apr-21
NECLIFE,EQ,47.9,12-Jul-21,16.15,10-Nov-20
NELCAST,EQ,100.35,26-Jul-21,49.5,05-Aug-20
NELCO,EQ,409,05-Jul-21,172.55,14-Oct-20
NEOGEN,EQ,1028,24-May-21,590.5,11-Aug-20
NESCO,EQ,696.8,06-Jul-21,431,05-Aug-20
NESTLEIND,EQ,18844,28-Dec-20,15100,22-Sep-20
NETF,EQ,199.58,05-Aug-21,109.42,09-Sep-20
NETFCONSUM,EQ,77.45,26-Jul-21,51,25-Sep-20
NETFDIVOPP,EQ,48.3,05-Jul-21,26.6,25-Sep-20
NETFGILT5Y,EQ,50,08-Apr-21,46.86,03-Jun-21
NETFIT,EQ,32.5,28-Jun-21,17.03,05-Aug-20
NETFLTGILT,EQ,25,31-May-21,18.55,28-Sep-20
NETFMID150,EQ,115.32,03-Aug-21,58,05-Aug-20
NETFNIF100,EQ,195,15-Jun-21,96.05,05-Oct-20
NETFNV20,EQ,95.1,12-Mar-21,56.3,11-Sep-20
NETFPHARMA,EQ,17.44,07-Jul-21,13.37,07-Jul-21
NETFSDL26,EQ,107.27,29-Jul-21,100.93,28-Jul-21
NETWORK18,EQ,58,11-Jun-21,31.35,24-Sep-20
NEULANDLAB,BE,2844.4,22-Apr-21,765.25,06-Aug-20
NEWGEN,BE,755,05-Jul-21,175.15,05-Aug-20
NEXTMEDIA,EQ,7.45,08-Jan-21,3.5,01-Apr-21
NFL,EQ,73.7,12-May-21,29.85,02-Nov-20
NH,EQ,566.7,02-Jun-21,265.6,05-Aug-20
NHPC,EQ,27.6,12-May-21,19.7,02-Nov-20
NIACL,EQ,197,19-Feb-21,99.8,04-Nov-20
NIBL,EQ,26.75,12-Apr-21,4.8,06-Nov-20
NIFTYBEES,EQ,184.9,15-Jul-21,102.26,04-Sep-20
NIFTYEES,EQ,20748,27-Jul-21,10200,17-Sep-20
NIITLTD,EQ,348,30-Jul-21,93.15,05-Aug-20
NILAINFRA,EQ,8.3,08-Jan-21,3.7,18-Nov-20
NILASPACES,BE,2.8,24-Jun-21,1,04-Nov-20
NILKAMAL,EQ,3180,03-Aug-21,1196,10-Aug-20
NIPPOBATRY,EQ,1282.4,29-Jul-21,485.2,05-Aug-20
NIRAJ,EQ,54.45,14-Oct-20,34.8,07-May-21
NITCO,EQ,33.95,14-Jun-21,15.6,11-Nov-20
NITINFIRE,BZ,2.6,28-Jul-21,0.3,20-Nov-20
NITINSPIN,BE,295,03-Aug-21,35.05,24-Sep-20
NITIRAJ,EQ,66,31-May-21,38.2,17-May-21
NKIND,EQ,31.9,13-Jul-21,16.2,02-Feb-21
NLCINDIA,EQ,73.75,12-May-21,46.2,19-Apr-21
NMDC,EQ,213.2,12-May-21,75.6,24-Sep-20
NOCIL,EQ,293.7,03-Aug-21,108.4,05-Aug-20
NOIDATOLL,EQ,8.65,09-Mar-21,3.1,23-Sep-20
NOVARTIND,EQ,1098,09-Jul-21,530.05,30-Mar-21
NPBET,EQ,219.98,15-Jun-21,105.53,24-Sep-20
NRAIL,EQ,331.8,30-Jul-21,171.5,14-Oct-20
NRBBEARING,EQ,154.4,09-Jul-21,66.5,30-Oct-20
NSIL,EQ,2166.65,29-Jul-21,638.95,06-Aug-20
NTL,EQ,2.4,05-Aug-21,0.6,05-Aug-20
NTPC,EQ,122,20-Jul-21,78.1,14-Oct-20
NUCLEUS,EQ,766,02-Jul-21,311,05-Aug-20
NURECA,EQ,1996.85,04-Aug-21,555.6,15-Mar-21
NXTDIGITAL,EQ,724.8,31-Aug-20,422.15,05-Aug-20
OAL,EQ,1019,16-Jul-21,288,01-Sep-20
OBEROIRLTY,EQ,755,02-Aug-21,349.25,17-Aug-20
OCCL,EQ,1323.9,02-Aug-21,727,23-Sep-20
OFSS,EQ,4650,29-Jul-21,2881.05,11-Sep-20
OIL,EQ,177.4,06-Jul-21,83.5,03-Nov-20
OILCOUNTUB,BE,10,06-Jul-21,3.5,02-Mar-21
OLECTRA,BE,344,04-Aug-21,55,01-Dec-20
OMAXAUTO,BE,73.75,14-Jul-21,29.65,05-Aug-20
OMAXE,EQ,98.6,05-Jul-21,60,26-Apr-21
OMINFRAL,EQ,38.75,29-Jul-21,12.8,10-Aug-20
OMKARCHEM,EQ,21.6,05-Aug-21,4.6,05-Aug-20
ONELIFECAP,EQ,14.75,05-Aug-21,5.25,07-Aug-20
ONEPOINT,BE,55.1,16-Jul-21,9.4,10-Aug-20
ONGC,EQ,128.5,15-Jun-21,64.1,29-Oct-20
ONMOBILE,EQ,154.4,13-Jul-21,32.6,05-Aug-20
ONWARDTEC,EQ,282.9,20-Jul-21,57.5,01-Sep-20
OPTIEMUS,BE,208.55,04-Mar-21,23.15,05-Aug-20
OPTOCIRCUI,BE,8.45,05-Aug-20,2.8,01-Apr-21
ORBTEXP,EQ,99.7,27-Jul-21,54.35,05-Oct-20
ORCHPHARMA,BE,2654.25,05-Apr-21,17.15,03-Nov-20
ORICONENT,EQ,37.4,04-Aug-21,15.9,13-Nov-20
ORIENTABRA,EQ,38.7,20-Jul-21,16.8,12-Aug-20
ORIENTALTL,EQ,13.2,29-Jun-21,5.05,12-Apr-21
ORIENTBELL,EQ,429.2,26-Jul-21,74.2,05-Aug-20
ORIENTCEM,EQ,173.15,04-Aug-21,56.2,22-Sep-20
ORIENTELEC,EQ,368,27-Jul-21,173.3,17-Aug-20
ORIENTHOT,EQ,43.35,04-Jun-21,18.5,05-Aug-20
ORIENTLTD,EQ,122.9,09-Jun-21,61.75,05-Aug-20
ORIENTPPR,EQ,33.9,03-Aug-21,15.6,22-Sep-20
ORISSAMINE,EQ,3802,17-Jun-21,1724.35,05-Aug-20
ORTEL,BZ,1.55,07-Aug-20,0.7,31-Mar-21
ORTINLAB,EQ,52.25,18-Jun-21,21.4,15-Apr-21
OSWALAGRO,EQ,20,15-Jul-21,7.9,09-Sep-20
PAEL,BZ,12.7,15-Apr-21,1.65,04-Nov-20
PAGEIND,EQ,33989,26-Jul-21,17685,22-Sep-20
PAISALO,EQ,880,02-Mar-21,346,21-Sep-20
PALASHSECU,EQ,93.5,30-Jun-21,24.05,05-Aug-20
PALREDTEC,EQ,170,09-Jun-21,16.95,18-Aug-20
PANACEABIO,EQ,449,28-May-21,170.75,03-Nov-20
PANACHE,BE,94.8,06-Jul-21,37.15,22-Dec-20
PANAMAPET,EQ,309.8,05-Aug-21,40.2,05-Aug-20
PARACABLES,BE,24.4,14-Jul-21,6.05,02-Nov-20
PARAGMILK,EQ,157.8,12-May-21,88.2,05-Aug-20
PARSVNATH,EQ,19.5,26-Jul-21,2.15,04-Nov-20
PATELENG,EQ,23.3,22-Jun-21,9.15,30-Oct-20
PATINTLOG,EQ,32,20-May-21,14.5,31-Mar-21
PATSPINLTD,EQ,14.4,04-Aug-21,3.8,07-Oct-20
PBAINFRA,BE,22.05,28-Jun-21,7.15,31-May-21
PCJEWELLER,EQ,32.95,12-Mar-21,12.75,12-Oct-20
PDMJEPAPER,EQ,47.5,05-Aug-21,12.8,06-Aug-20
PDSMFL,EQ,1550,03-Aug-21,257,21-Aug-20
PEARLPOLY,EQ,21.6,16-Dec-20,13.5,12-Apr-21
PEL,EQ,2615,05-Aug-21,1178.55,24-Sep-20
PENIND,EQ,42.9,30-Jul-21,14.8,24-Sep-20
PENINLAND,BE,17.15,20-Jul-21,3.65,20-Oct-20
PERSISTENT,EQ,3298,26-Jul-21,929.95,06-Aug-20
PETRONET,EQ,275.35,12-Jan-21,207.25,14-Oct-20
PFC,EQ,140.5,12-Mar-21,81.45,05-Aug-20
PFIZER,EQ,6105,28-Jul-21,4330,19-Mar-21
PFOCUS,EQ,75.9,22-Apr-21,25.25,05-Aug-20
PFS,EQ,24.25,08-Dec-20,16.1,22-Sep-20
PGEL,EQ,499,16-Mar-21,43,13-Aug-20
PGHH,EQ,14135.65,24-Jun-21,9691.4,22-Sep-20
PGHL,EQ,7500,17-Feb-21,4386,05-Aug-20
PGIL,EQ,474.7,03-Aug-21,111,10-Aug-20
PHILIPCARB,EQ,277,02-Aug-21,100.6,05-Aug-20
PHOENIXLTD,EQ,918.45,02-Aug-21,541.7,24-Sep-20
PIDILITIND,EQ,2333.95,22-Jul-21,1306.95,06-Aug-20
PIIND,EQ,3379,03-Aug-21,1806.1,31-Aug-20
PILANIINVS,EQ,2330,31-Dec-20,1028.71,13-Aug-20
PILITA,EQ,19.2,01-Apr-21,5.5,18-Aug-20
PIONDIST,EQ,140.4,17-Jun-21,89.1,22-Sep-20
PIONEEREMB,EQ,79.7,02-Aug-21,18.6,21-Oct-20
PITTIENG,EQ,214.65,02-Aug-21,27.4,05-Aug-20
PKTEA,BE,384.9,02-Jul-21,120,05-Aug-20
PLASTIBLEN,EQ,295.85,15-Jul-21,167.05,05-Aug-20
PNB,EQ,46.35,19-Feb-21,26.3,29-Oct-20
PNBGILTS,EQ,94.65,03-Jun-21,36.75,12-Oct-20
PNBHOUSING,BE,925,08-Jun-21,208.5,05-Aug-20
PNC,EQ,60.95,23-Apr-21,11,05-Nov-20
PNCINFRA,EQ,329.2,27-Jul-21,126.5,05-Aug-20
PODDARHOUS,EQ,268.7,06-Jan-21,137.95,04-Nov-20
PODDARMENT,EQ,433.85,26-Jul-21,166.2,11-Nov-20
POKARNA,EQ,477,03-Aug-21,118.05,09-Sep-20
POLYCAB,EQ,2033,01-Jul-21,798,22-Sep-20
POLYMED,EQ,1165,24-May-21,365,31-Aug-20
POLYPLEX,EQ,1595,04-Aug-21,636.6,05-Aug-20
PONNIERODE,BE,380,30-Jun-21,136.2,22-Feb-21
POONAWALLA,BE,185,30-Jul-21,28.45,05-Aug-20
POWERGRID,EQ,188.63,15-Jun-21,115.95,15-Oct-20
POWERINDIA,EQ,2085,03-Aug-21,866.2,05-Aug-20
POWERMECH,EQ,922,02-Jul-21,353.5,24-Sep-20
PPAP,EQ,339.4,29-Jul-21,159.9,06-Aug-20
PPL,EQ,194.7,24-Jun-21,59.4,05-Aug-20
PRAENG,BE,31.05,04-Aug-21,5.55,30-Sep-20
PRAJIND,BE,407,08-Jun-21,58.75,07-Aug-20
PRAKASH,EQ,104.75,11-May-21,35.9,24-Sep-20
PRAKASHSTL,EQ,1.75,05-Aug-21,0.55,17-Nov-20
PRAXIS,EQ,62.2,02-Feb-21,28.6,19-Aug-20
PRECAM,EQ,112,02-Aug-21,30.75,24-Sep-20
PRECOT,EQ,308,22-Jul-21,20,12-Aug-20
PRECWIRE,EQ,244.9,24-Jun-21,100,06-Aug-20
PREMEXPLN,BE,249,26-Jul-21,107.6,24-Sep-20
PREMIER,EQ,5.95,11-Jan-21,1.8,06-Aug-20
PREMIERPOL,EQ,113.8,28-Jul-21,19.45,10-Aug-20
PRESSMN,EQ,39.6,04-Aug-21,15.55,30-Oct-20
PRESTIGE,EQ,377.8,03-Aug-21,201.2,06-Aug-20
