SYMBOL,SERIES,Adjusted 52_Week_High,52_Week_High_Date,Adjusted 52_Week_Low,52_Week_Low_DT
GRASIM,EQ,1614.2,02-Aug-21,610.7,17-Aug-20
GRAUWEIL,EQ,65,05-Aug-21,61.5,05-Aug-21
GRAVITA,EQ,202,05-Aug-21,42,05-Nov-20
GREAVESCOT,EQ,184.4,24-Jun-21,66,03-Nov-20
GREENLAM,EQ,1460,02-Jul-21,676.15,22-Sep-20
GREENPANEL,BE,278.45,03-Aug-21,37,07-Aug-20
GREENPLY,EQ,224.65,21-May-21,73.5,21-Oct-20
GREENPOWER,EQ,3.75,16-Jul-21,1.65,25-Sep-20
GRINDWELL,EQ,1390,07-Jul-21,476.45,07-Aug-20
GRINFRA,EQ,1838,19-Jul-21,1550,19-Jul-21
GROBTEA,EQ,1434.75,02-Jul-21,414.1,10-Aug-20
GRPLTD,EQ,1180,07-Jun-21,665.9,08-Oct-20
GRSE,EQ,243,12-Aug-20,166.05,22-Sep-20
GSCLCEMENT,EQ,56.45,06-Jul-21,26.1,29-Sep-20
GSFC,EQ,127.15,03-Aug-21,54,24-Sep-20
GSPL,EQ,359.55,30-Jul-21,177.4,14-Oct-20
GSS,EQ,87.4,22-Jul-21,20.85,19-Aug-20
GTL,BE,31.65,06-Jul-21,1.6,07-Sep-20
GTLINFRA,BE,4.05,28-Jul-21,0.45,08-Dec-20
GTPL,EQ,206.7,15-Jul-21,83.55,24-Sep-20
GUFICBIO,EQ,215.95,17-May-21,76.2,22-Sep-20
GUJALKALI,EQ,525,04-Aug-21,304.65,22-Feb-21
GUJAPOLLO,EQ,277.05,25-Jun-21,167.4,05-Aug-20
GUJGASLTD,EQ,786,04-Aug-21,281,13-Oct-20
GUJRAFFIA,BE,84.95,06-Jul-21,9.9,05-Aug-20
GULFOILLUB,EQ,842,19-Nov-20,570.4,05-Aug-20
GULFPETRO,EQ,77.55,07-Jun-21,33,03-Nov-20
GULPOLY,BE,293,28-Jul-21,42,06-Aug-20
